DNA1,MART1,CD207,SOX10,GZMB,CD163,CD1c,KRT14,CD3e,CD11c,CD8a,aSMA,CD20,CD68,PDL1,MITF,FOXP3,PD1,panCK,CD16,CD206,CD31,Vim,S100A,LAG3,CD56,pS6,HLA-A/B,SOX9,HLA-DPB1,PCNA,CD14,CD66b,pH3,LMNB2,Nestin,H3K27Me3,PRAME,TIGIT,TIM3,CD57,cPARP,DNA13,CD4,Ki67_2,IRF1,imageid,ROI_major_category,phenotype
12296.867,323.9812,291.74002,620.4119,564.78467,434.64212,1502.1816,94.722786,421.14172,378.1104,836.9499,1410.2341,548.5928,209.31245,886.6891,848.9186,156.52858,1185.643,262.74002,716.43616,253.85199,5261.6255,8511.829,1953.0259,432.27094,683.53876,107.06891,1061.8895,206.94362,338.09946,152.19185,722.7815,273.56226,140.40799,1245.7996,425.28192,3746.5317,738.8708,152.53955,1445.4863,811.2678,235.0556,488.11276,454.35788,68.64918,275.52466,A,MIS,non_tumor
12044.7295,2316.7688,597.7304,2535.4814,1159.6644,1006.89136,17883.402,103.93535,646.9711,10392.737,996.0564,197.85558,835.0867,273.88858,925.7607,1421.9987,229.63274,1235.8005,147.10867,1087.8446,3624.4924,783.05225,5983.7183,1521.6533,478.00137,959.3838,142.40303,860.99585,316.57358,3704.7153,261.42642,1375.685,318.23108,131.88309,5349.8145,657.93396,2565.3591,1062.3851,182.05228,2558.8335,914.1568,255.7304,644.05365,1560.106,1841.9023,318.9835,A,VGP,non_tumor
15030.178,440.92307,269.34616,315.42712,609.54047,576.54456,3506.498,87.32591,695.8239,1090.7834,777.585,515.4008,604.41296,276.21255,878.52026,931.8745,163.43523,1147.996,112.13563,754.69836,1219.5364,1126.3887,3560.2227,1637.9717,396.26517,720.08704,98.58097,1062.3522,191.26315,1462.7004,126.29555,668.3644,277.2591,111.46761,1916.668,1006.88666,1318.2267,767.43115,157.22874,1468.7368,879.90894,248.03847,899.9251,1445.6599,80.53442,287.6093,A,VGP,non_tumor
20109.4,5525.1177,674.0285,5871.485,1345.9031,560.81177,1323.9734,121.56654,510.75476,534.05896,952.6939,192.03423,645.9753,222.70723,974.3479,1499.3555,175.56464,1400.4144,104.75095,853.31366,165.0019,429.70532,6947.751,3190.9734,424.07983,815.39545,105.75285,1066.3536,659.308,300.07605,204.56274,370.41446,283.22433,158.22243,1038.1807,534.59125,3684.9067,770.56464,162.94487,1122.2605,861.3042,244.44676,844.7377,982.749,73.45247,287.58554,A,VGP,tumor
35134.65,6191.1406,842.88544,9715.391,1866.1615,767.1901,3481.5469,3623.2578,656.3047,665.3047,1052.0756,191.77864,833.63544,251.89062,1037.4323,1745.8828,258.63022,2050.427,5683.096,994.84894,165.75261,372.90366,3924.8542,1181.0703,454.3047,649.3281,132.29948,1608.5807,861.5052,340.41928,283.03384,425.8047,323.64584,213.39844,4601.776,548.17706,5988.7993,978.41406,192.19011,1623.8646,1121.4271,284.52603,2052.4817,715.9844,95.35156,343.58334,A,RGP,tumor
19938.354,759.6865,405.41742,348.28748,1045.026,719.2431,7430.9585,94.51835,1123.2064,4249.5044,1709.2753,184.33945,1001.3593,291.43118,910.9893,1646.5321,257.6162,1335.6621,135.72171,1134.6085,2101.7278,568.72784,5129.4585,2434.3853,508.14984,868.2523,106.67278,1291.3074,270,1876.2538,175.89296,1026.2523,332.2722,127.60551,1918.7966,735.6728,2619.4512,997.8899,209.59633,1807.7003,1037.211,278.94037,1042.1544,2842.7417,96.1315,324.38226,A,VGP,non_tumor
6285.1143,12850.268,1033.1592,3643.3457,2154.8896,816.7562,1241.2372,3526.766,677.54895,747.10364,870.5448,190.32753,860.41125,268.56384,1214.8582,1071.131,194.20813,1816.7007,857.92206,1024.8657,123.8806,408.47678,3063.111,796.6617,490.46185,563.32336,100.26368,923.8408,276.83832,207.1708,170.9519,424.98257,302.73218,92.12106,1267.3118,481.38058,1835.9552,1282.8142,193.31758,918.6667,1045.1335,278.08127,516.0365,465.59204,285.9801,370.45853,A,VGP,non_tumor
16944.627,514.697,357.8594,290.0396,751.7525,607.6475,1929.9762,102.514854,718.46136,1048.8535,953.34454,351.31485,793.4871,253.41188,896.8515,1524.0455,225.35446,1235.4891,122.3604,997.7406,737.2594,2125.883,3930.9663,1200.1664,453.7406,668.1663,86.968315,999.11884,239.29109,595.18414,114.25941,545.32874,312.0198,100.15247,4750.5645,705.29706,3011.0376,1042.5663,194.47525,1475.002,973.40393,260.25348,1065.1525,1052.3129,101.42376,287.53467,A,VGP,non_tumor
4870.6562,1356.4823,446.2348,708.58417,751.50494,1289.2631,1128.7256,74.902405,535.7638,15275.256,866.6195,186.36351,680.73126,254.52051,891.39465,864.16833,170.24753,1113.464,114.4215,1141.3818,1391.7383,1025.785,7111.7456,2546.3792,430.9519,664.01416,63.591232,719.9986,242.55304,1069.7567,94.63225,2354.2673,289.51627,90.435646,1510,569.16974,2434.082,804.6124,160.93636,1321.3197,790.11597,241.19943,266.98303,1479.0835,77.13861,282.34796,A,VGP,non_tumor
16200.951,847.8924,442.5186,761.34247,1160.9647,636.8689,1859.1703,2216.272,709.33075,473.9902,725.3483,174.1546,949.98236,274.3229,901.1429,1150.5283,220.39726,1341.6047,1517.3562,1027.2212,117.85127,318.06458,440.94913,432.45596,494.3268,331.03717,67.804306,1035.7788,258.8904,207.09393,99.23483,456.96674,333.92563,83.44618,4223.086,486.25244,1048.8826,1183.4618,204.17809,664.8219,1220.2994,311.16635,1171.773,539.5832,133.32486,283.70255,A,MIS,non_tumor
